epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1800.97,1.09209,1.87668,1.23665,1.32526,0.63918,0.375,0.4386,0.28112,0.63918,0.375,0.44028,0.25539,1.89115,3.35962,2.20263,2.37547,0.0008912,0.0008912,0.0008912
30,1862.78,1.07693,1.88467,1.21909,1.33531,0.58797,0.375,0.38047,0.20276,0.58797,0.375,0.37591,0.19899,1.92408,3.17532,2.43745,2.38386,0.0008516,0.0008516,0.0008516
31,1924.49,1.12049,1.89764,1.16634,1.33664,0.76421,0.25,0.32095,0.18574,0.76421,0.25,0.31011,0.17396,1.91346,3.42345,2.68247,2.37802,0.000812,0.000812,0.000812
32,1986.54,1.10655,1.9703,1.23597,1.33602,0.58135,0.25,0.2787,0.17932,0.58135,0.25,0.29524,0.15728,1.98691,3.43142,2.36054,2.37641,0.0007724,0.0007724,0.0007724
33,2048.35,1.01202,1.7946,1.13585,1.28442,0.78852,0.25,0.35234,0.22686,0.62165,0.3125,0.3851,0.19672,2.04339,3.28943,2.10248,2.40105,0.0007328,0.0007328,0.0007328
34,2110.08,1.03321,1.86381,1.16548,1.30256,0.52204,0.61484,0.51037,0.33065,0.52204,0.61484,0.5306,0.27187,1.7526,3.29153,1.99081,2.26165,0.0006932,0.0006932,0.0006932
35,2171.85,1.03617,1.79582,1.18367,1.28249,0.45145,0.625,0.54906,0.33226,0.54591,0.45161,0.50904,0.27079,1.65683,3.83698,2.25308,2.15422,0.0006536,0.0006536,0.0006536
36,2233.67,1.03875,1.92801,1.20407,1.28038,0.48724,0.4375,0.3549,0.22235,0.48724,0.4375,0.33887,0.19042,1.92725,3.90714,2.5186,2.30513,0.000614,0.000614,0.000614
37,2295.65,0.97962,1.72834,1.11971,1.25096,0.54857,0.4375,0.36471,0.19651,0.46958,0.375,0.3021,0.17303,2.12484,3.6978,2.37378,2.62294,0.0005744,0.0005744,0.0005744
38,2357.77,1.02299,1.82054,1.09558,1.29219,0.41458,0.4375,0.37705,0.23708,0.41458,0.4375,0.35222,0.1896,2.14573,3.91002,2.525,2.59837,0.0005348,0.0005348,0.0005348
39,2419.73,0.94753,1.72292,1.19743,1.244,0.34322,0.4375,0.33028,0.1989,0.35482,0.34473,0.30782,0.17195,2.05812,3.80002,2.58352,2.47797,0.0004952,0.0004952,0.0004952
40,2481.85,0.97633,1.73096,1.09717,1.23467,0.45031,0.4375,0.32394,0.18004,0.38543,0.375,0.28902,0.15592,2.11287,3.51994,2.62578,2.72722,0.0004556,0.0004556,0.0004556
41,2544.01,0.8749,1.49313,0.93408,1.22933,0.65221,0.375,0.40574,0.23776,0.65221,0.375,0.41013,0.20974,1.84251,3.10709,2.34448,2.46528,0.000416,0.000416,0.000416
42,2605.75,0.87871,1.48609,0.92871,1.24174,0.45847,0.5,0.41561,0.23958,0.45847,0.5,0.4013,0.20329,1.84218,3.44993,2.45851,2.54413,0.0003764,0.0003764,0.0003764
43,2667.4,0.80012,1.41212,0.86619,1.16896,0.56179,0.5,0.40525,0.25371,0.55337,0.5625,0.43788,0.21668,1.8622,3.2591,2.21089,2.37997,0.0003368,0.0003368,0.0003368
44,2729.03,0.7929,1.34646,0.82633,1.18408,0.5705,0.5,0.47694,0.26527,0.5705,0.5,0.44878,0.22497,1.78224,3.1672,2.0536,2.21584,0.0002972,0.0002972,0.0002972
45,2790.7,0.77041,1.31531,0.82074,1.19031,0.60718,0.5,0.47502,0.25956,0.60718,0.5,0.44577,0.21568,1.86666,3.35689,2.09665,2.2753,0.0002576,0.0002576,0.0002576
46,2852.34,0.74287,1.30052,0.77364,1.13569,0.56383,0.4375,0.4345,0.2637,0.48328,0.375,0.39643,0.21419,1.86759,3.43787,2.37152,2.23989,0.000218,0.000218,0.000218
47,2913.91,0.76403,1.32528,0.79008,1.15874,0.41842,0.5,0.40924,0.25788,0.41842,0.5,0.40525,0.22061,1.87985,3.61537,2.47793,2.36425,0.0001784,0.0001784,0.0001784
48,2975.53,0.71536,1.27322,0.74851,1.13856,0.52761,0.4375,0.42829,0.2628,0.37308,0.4375,0.40696,0.21662,1.94468,3.3802,2.44621,2.39668,0.0001388,0.0001388,0.0001388
49,3037.2,0.73386,1.2748,0.75276,1.16036,0.69001,0.4375,0.48105,0.30378,0.69001,0.4375,0.46139,0.25399,1.90023,3.41545,2.27283,2.27909,9.92e-05,9.92e-05,9.92e-05
50,3099.02,0.68456,1.20778,0.71952,1.08523,0.60674,0.375,0.41858,0.27207,0.60674,0.375,0.40371,0.22736,1.9696,3.55164,2.47268,2.46706,5.96e-05,5.96e-05,5.96e-05
