epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8251,1.58168,3.18293,2.63219,1.735,0.28288,0.5625,0.30529,0.16061,0.3724,0.3125,0.28204,0.13128,1.70583,3.62846,2.70668,2.26212,0.00066335,0.00066335,0.00066335
2,124.991,1.54036,2.74205,2.32954,1.66594,0.26439,0.40498,0.24307,0.1316,0.26439,0.40498,0.23748,0.14197,2.04565,4.56693,3.92017,2.50304,0.00130368,0.00130368,0.00130368
3,187.099,1.59962,2.76509,2.21752,1.7114,0.3577,0.3125,0.24966,0.12374,0.29207,0.25,0.22056,0.13045,2.30577,3.61516,3.77347,3.18343,0.00191761,0.00191761,0.00191761
4,249.172,1.64466,2.88596,2.24659,1.74481,0.26426,0.3125,0.17578,0.08195,0.33277,0.125,0.08266,0.03383,1.98704,5.9306,2.60188,2.55808,0.0018812,0.0018812,0.0018812
5,311.208,1.59881,2.62938,2.12517,1.72622,0.47652,0.3125,0.25862,0.11283,0.46141,0.3125,0.26192,0.12918,2.44191,4.08269,3.059,2.87416,0.0018416,0.0018416,0.0018416
6,373.237,1.59161,2.68159,2.14675,1.70777,0.47312,0.3125,0.29218,0.10438,0.47312,0.3125,0.2705,0.12592,2.0303,3.60469,2.58964,2.53858,0.001802,0.001802,0.001802
7,435.269,1.50818,2.72849,1.99445,1.63999,0.43081,0.3125,0.2786,0.138,0.43081,0.3125,0.26319,0.14062,2.32404,3.96561,3.01585,2.88633,0.0017624,0.0017624,0.0017624
8,497.328,1.47519,2.54234,1.88779,1.61619,0.43907,0.4375,0.31806,0.12156,0.44684,0.4375,0.30458,0.13841,2.41264,3.53344,3.04167,2.7669,0.0017228,0.0017228,0.0017228
9,559.417,1.5641,2.56562,1.89057,1.67359,0.24093,0.25,0.20149,0.07664,0.17238,0.25,0.17245,0.08245,2.41177,3.63899,2.83502,2.73647,0.0016832,0.0016832,0.0016832
10,621.613,1.44641,2.45228,1.87691,1.61425,0.38217,0.25,0.25033,0.12542,0.38217,0.25,0.22371,0.14134,2.25219,3.3277,2.55285,2.79708,0.0016436,0.0016436,0.0016436
11,683.734,1.43595,2.34258,1.86566,1.57805,0.37598,0.3125,0.28883,0.12544,0.40041,0.3125,0.27448,0.13063,1.94421,3.28408,2.38476,2.47382,0.001604,0.001604,0.001604
12,745.74,1.44448,2.55882,1.78883,1.5852,0.37868,0.375,0.33911,0.20168,0.35778,0.625,0.36246,0.17741,1.75087,3.57316,2.07041,2.39976,0.0015644,0.0015644,0.0015644
13,807.983,1.34049,2.38012,1.773,1.52303,0.46553,0.5625,0.42764,0.23482,0.46553,0.5625,0.42764,0.21634,1.8532,3.61165,2.31648,2.3841,0.0015248,0.0015248,0.0015248
14,870.176,1.34991,2.29637,1.69106,1.52219,0.50151,0.375,0.39372,0.22254,0.61819,0.3125,0.31347,0.17685,1.90951,4.00733,2.22361,2.53662,0.0014852,0.0014852,0.0014852
15,932.2,1.31426,2.29877,1.62182,1.52089,0.676,0.3125,0.36478,0.18045,0.676,0.3125,0.36433,0.16693,2.00361,3.44108,2.56644,2.70308,0.0014456,0.0014456,0.0014456
16,994.267,1.31606,2.45746,1.6649,1.47978,0.96697,0.4375,0.5857,0.36416,0.96697,0.4375,0.55881,0.31681,1.62874,3.42468,2.01379,2.19364,0.001406,0.001406,0.001406
17,1056.34,1.31735,2.33394,1.61245,1.48489,0.57459,0.375,0.3832,0.21092,0.57459,0.375,0.35472,0.18914,2.03403,3.37498,2.33886,2.69022,0.0013664,0.0013664,0.0013664
18,1118.32,1.24126,2.25746,1.57466,1.46818,0.38783,0.59456,0.43962,0.24518,0.40485,0.29858,0.29815,0.1185,2.13051,4.91927,2.0663,2.76936,0.0013268,0.0013268,0.0013268
19,1180.36,1.22922,2.15907,1.52847,1.43647,0.72955,0.375,0.46938,0.25592,0.72955,0.375,0.44213,0.24067,1.92615,4.44273,2.13381,2.5444,0.0012872,0.0012872,0.0012872
20,1242.41,1.23252,2.13887,1.50871,1.43089,0.52871,0.5625,0.54828,0.29984,0.52871,0.5625,0.56023,0.26886,1.87366,3.73161,1.95163,2.70451,0.0012476,0.0012476,0.0012476
21,1304.59,1.20491,2.22142,1.51452,1.41171,0.73995,0.53488,0.6395,0.334,0.73995,0.53488,0.61438,0.29747,1.87273,3.49064,1.91013,2.38363,0.001208,0.001208,0.001208
22,1366.64,1.22556,2.13013,1.41388,1.39594,0.85147,0.4375,0.4899,0.29313,0.85147,0.4375,0.48299,0.26858,1.66786,3.71717,1.92682,2.16091,0.0011684,0.0011684,0.0011684
23,1428.86,1.2503,2.12258,1.42303,1.41709,0.49275,0.5625,0.44465,0.26567,0.49275,0.5625,0.45435,0.22138,1.77542,3.62935,2.11222,2.26066,0.0011288,0.0011288,0.0011288
24,1491.04,1.2004,2.18708,1.41475,1.37897,0.79227,0.47827,0.50933,0.30058,0.72704,0.4375,0.48741,0.24628,1.60827,3.43018,1.87714,1.97977,0.0010892,0.0010892,0.0010892
25,1553.18,1.18946,2.08978,1.38315,1.40306,0.8713,0.42457,0.50188,0.2609,0.64372,0.5,0.49598,0.23072,1.95533,3.21252,2.06934,2.61016,0.0010496,0.0010496,0.0010496
26,1615.2,1.15041,2.05178,1.40665,1.36197,0.66282,0.49206,0.58902,0.28895,0.7861,0.375,0.51844,0.25817,2.03067,3.45536,2.15588,2.47982,0.00101,0.00101,0.00101
27,1677.29,1.12073,1.95123,1.33136,1.34745,0.81265,0.54349,0.56753,0.2668,0.69752,0.57731,0.60038,0.26021,2.17045,3.52585,1.93725,3.1198,0.0009704,0.0009704,0.0009704
28,1739.26,1.12114,2.02904,1.30739,1.33358,0.36513,0.4375,0.36343,0.21759,0.36513,0.4375,0.35568,0.1859,1.73158,3.5144,2.66533,2.18299,0.0009308,0.0009308,0.0009308
