epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4234,1.51172,3.11217,2.96791,1.60268,0.47152,0.34639,0.33486,0.1901,0.49237,0.38805,0.34789,0.1871,1.38271,2.57664,2.86388,1.74155,0.000472461,0.000472461,0.000472461
2,94.3135,1.43115,2.57203,2.37042,1.53805,0.22088,0.48907,0.22521,0.13913,0.22114,0.5,0.22809,0.13245,1.62193,2.97987,3.40542,1.92278,0.000930008,0.000930008,0.000930008
3,140.618,1.43535,2.66796,2.22993,1.53459,0.61309,0.3374,0.32443,0.163,0.35796,0.30231,0.18269,0.0526,1.64145,3.88739,2.769,1.81089,0.00136869,0.00136869,0.00136869
4,187.197,1.41924,2.59594,2.1535,1.51317,0.23322,0.45833,0.29069,0.17313,0.36122,0.25,0.35052,0.18991,1.50147,3.13755,4.01861,1.87222,0.00134412,0.00134412,0.00134412
5,233.699,1.46657,2.5345,2.17565,1.56287,0.39141,0.58333,0.42919,0.22225,0.43316,0.625,0.43018,0.23464,1.61442,3.15847,2.56195,1.94973,0.00131582,0.00131582,0.00131582
6,280.287,1.33707,2.3836,2.01751,1.45966,0.31033,0.45833,0.35341,0.20858,0.3679,0.53874,0.40317,0.21091,1.47993,3.42232,2.28544,1.8728,0.00128753,0.00128753,0.00128753
7,326.96,1.32432,2.43447,1.92915,1.44596,0.7383,0.41359,0.55471,0.30862,0.7383,0.41359,0.5554,0.305,1.35724,2.89673,2.48258,1.70358,0.00125923,0.00125923,0.00125923
8,373.685,1.26622,2.26289,1.77432,1.43127,0.49319,0.33333,0.34388,0.20432,0.26766,0.50439,0.33208,0.20834,1.38042,2.74681,2.44745,1.75765,0.00123094,0.00123094,0.00123094
9,420.357,1.34737,2.34594,1.87805,1.46584,0.33272,0.47832,0.36913,0.19576,0.37924,0.51324,0.39605,0.22936,1.58243,2.79398,2.51998,1.84585,0.00120265,0.00120265,0.00120265
10,466.908,1.27182,2.28788,1.74381,1.42368,0.75456,0.45542,0.57515,0.3458,0.62315,0.55172,0.61728,0.29792,1.24196,3.18237,2.04485,1.52456,0.00117435,0.00117435,0.00117435
11,513.604,1.22805,2.10886,1.62502,1.37443,0.48358,0.54167,0.43126,0.25671,0.48358,0.54167,0.43027,0.26273,1.33908,2.72385,2.70985,1.72375,0.00114606,0.00114606,0.00114606
12,560.276,1.22329,2.07698,1.68723,1.37693,0.46328,0.66464,0.49205,0.303,0.46052,0.54167,0.49422,0.28052,1.32121,2.89438,2.29358,1.69537,0.00111776,0.00111776,0.00111776
13,606.852,1.20215,2.1074,1.60942,1.35421,0.65885,0.41667,0.52607,0.32651,0.57471,0.65118,0.58407,0.31196,1.44532,2.98191,2.20816,1.80531,0.00108947,0.00108947,0.00108947
14,653.323,1.20038,2.16824,1.54419,1.36676,0.52397,0.58333,0.53071,0.30996,0.50329,0.54167,0.5028,0.28463,1.57201,3.09454,1.98956,1.92379,0.00106118,0.00106118,0.00106118
15,699.875,1.17192,2.12004,1.5988,1.34511,0.4629,0.54167,0.54727,0.312,0.4629,0.54167,0.54705,0.34326,1.43885,3.02493,2.19479,1.74209,0.00103288,0.00103288,0.00103288
16,746.452,1.07748,1.90849,1.46309,1.31174,0.4823,0.58333,0.57373,0.35314,0.4823,0.58333,0.57476,0.33196,1.41541,2.75373,1.81304,1.80159,0.00100459,0.00100459,0.00100459
17,793.159,1.12215,2.04262,1.44546,1.29805,0.45343,0.58118,0.52662,0.312,0.45343,0.58118,0.50749,0.28529,1.33285,2.99845,1.83191,1.65991,0.000976293,0.000976293,0.000976293
18,839.859,1.18342,2.09313,1.46398,1.3355,0.41462,0.72759,0.56211,0.36191,0.43698,0.70833,0.5448,0.35775,1.2745,2.54705,1.84427,1.58325,0.000947999,0.000947999,0.000947999
19,886.377,1.08657,1.95093,1.39541,1.29512,0.4864,0.5,0.55091,0.35096,0.4864,0.5,0.56018,0.37477,1.34871,2.8549,2.07304,1.63561,0.000919704,0.000919704,0.000919704
20,933.089,1.08355,1.95647,1.33018,1.27936,0.53034,0.54574,0.5812,0.35167,0.53034,0.54574,0.55933,0.32836,1.34594,2.61185,1.65094,1.65468,0.00089141,0.00089141,0.00089141
21,979.652,1.09862,1.88955,1.3769,1.29882,0.62203,0.66667,0.62724,0.37179,0.69967,0.66667,0.6329,0.36658,1.35585,2.73058,1.65197,1.71244,0.000863116,0.000863116,0.000863116
22,1026.28,1.04036,1.83531,1.30652,1.25718,0.59616,0.67784,0.63725,0.40896,0.63296,0.70833,0.68961,0.43679,1.38408,2.63072,1.66466,1.74761,0.000834822,0.000834822,0.000834822
23,1072.86,1.01926,1.8455,1.27423,1.24866,0.71137,0.625,0.61813,0.36091,0.71137,0.625,0.63769,0.35862,1.40727,2.73854,1.98725,1.75371,0.000806528,0.000806528,0.000806528
24,1119.49,1.0103,1.85425,1.25127,1.23692,0.45299,0.66052,0.48705,0.28202,0.40657,0.625,0.43552,0.27672,1.48023,2.51128,2.53948,1.62979,0.000778233,0.000778233,0.000778233
25,1165.92,0.97862,1.78008,1.19332,1.21341,0.4596,0.42564,0.40987,0.25016,0.56459,0.54167,0.45498,0.23235,1.3715,2.77749,2.10814,1.61616,0.000749939,0.000749939,0.000749939
26,1212.55,1.01841,1.77457,1.23013,1.23719,0.4054,0.5,0.47348,0.2875,0.46032,0.625,0.52223,0.27064,1.34255,2.51273,2.39053,1.62162,0.000721645,0.000721645,0.000721645
27,1259.16,1.02155,1.8501,1.18724,1.23697,0.46554,0.58891,0.54206,0.3559,0.49038,0.63058,0.57198,0.36773,1.3404,2.45586,1.8732,1.64144,0.000693351,0.000693351,0.000693351
28,1305.62,1.01837,1.75134,1.13597,1.2432,0.55998,0.70833,0.58789,0.38012,0.63646,0.64729,0.62007,0.39479,1.4009,2.42434,1.83886,1.64534,0.000665057,0.000665057,0.000665057
29,1352.08,0.9575,1.73786,1.11847,1.19017,0.56492,0.7282,0.56153,0.36289,0.56492,0.7282,0.55937,0.37376,1.62794,2.30414,2.08264,1.87019,0.000636762,0.000636762,0.000636762
30,1398.6,0.96964,1.73353,1.13642,1.21526,0.63885,0.54167,0.57106,0.37553,0.63885,0.54167,0.56216,0.36519,1.38271,2.46638,1.77046,1.7329,0.000608468,0.000608468,0.000608468
31,1445.31,0.93091,1.7912,1.0412,1.18184,0.4564,0.79249,0.56932,0.35367,0.44611,0.70833,0.55106,0.35219,1.36083,2.71308,2.09513,1.59105,0.000580174,0.000580174,0.000580174
32,1491.72,0.898,1.67827,1.07933,1.14769,0.49674,0.65532,0.59715,0.41713,0.53973,0.66851,0.63143,0.39821,1.24242,2.46156,1.61404,1.53841,0.00055188,0.00055188,0.00055188
33,1538.24,0.92081,1.57309,1.03431,1.18304,0.50344,0.67761,0.57107,0.36238,0.50344,0.67761,0.58551,0.36168,1.31697,2.54331,1.61449,1.62061,0.000523586,0.000523586,0.000523586
34,1584.84,0.92433,1.62194,0.96999,1.18116,0.59115,0.57892,0.48166,0.31307,0.64548,0.61809,0.55788,0.31436,1.53332,2.45507,1.70114,1.86082,0.000495291,0.000495291,0.000495291
35,1631.35,0.87274,1.58297,0.99566,1.14281,0.5598,0.57471,0.48589,0.28112,0.59196,0.57471,0.53604,0.26836,1.64583,2.74599,2.11268,1.91382,0.000466997,0.000466997,0.000466997
36,1677.88,0.93969,1.63988,1.01063,1.18384,0.41188,0.77953,0.5188,0.28598,0.4472,0.66667,0.52517,0.26847,1.4485,2.772,2.39376,1.71812,0.000438703,0.000438703,0.000438703
37,1724.51,0.91644,1.64234,0.98461,1.17443,0.49591,0.625,0.49117,0.31906,0.49591,0.625,0.49002,0.3138,1.42715,2.47874,1.98261,1.70807,0.000410409,0.000410409,0.000410409
38,1770.8,0.83861,1.5237,0.95643,1.13476,0.48101,0.58333,0.48587,0.33452,0.53697,0.625,0.5244,0.33424,1.30998,2.44594,1.93432,1.66156,0.000382115,0.000382115,0.000382115
39,1817.28,0.88227,1.56112,0.94901,1.14924,0.43663,0.54167,0.46082,0.3163,0.36723,0.66667,0.43824,0.30136,1.35604,2.5893,1.9512,1.65443,0.00035382,0.00035382,0.00035382
40,1863.84,0.87471,1.5637,0.95372,1.13956,0.54397,0.60785,0.52299,0.3229,0.48546,0.56704,0.45556,0.30251,1.33356,2.84047,2.01489,1.62912,0.000325526,0.000325526,0.000325526
41,1910.11,0.85044,1.55326,0.97871,1.16938,0.45975,0.58333,0.51183,0.33451,0.45975,0.58333,0.49812,0.32201,1.29746,2.96719,2.11981,1.58143,0.000297232,0.000297232,0.000297232
42,1955.82,0.81694,1.44246,0.92137,1.15039,0.50249,0.66667,0.46736,0.30084,0.50249,0.66667,0.4636,0.29217,1.38637,2.76281,2.10929,1.70438,0.000268938,0.000268938,0.000268938
43,2001.54,0.7942,1.37548,0.87527,1.15685,0.46219,0.66667,0.49447,0.32093,0.46219,0.66667,0.49951,0.31164,1.33797,2.50121,2.04073,1.65023,0.000240644,0.000240644,0.000240644
44,2047.32,0.76641,1.38328,0.84717,1.10746,0.50301,0.72304,0.57764,0.38984,0.54779,0.76439,0.62879,0.40203,1.32149,2.32543,1.79752,1.57055,0.000212349,0.000212349,0.000212349
45,2093.06,0.7199,1.32384,0.83077,1.0965,0.56392,0.66667,0.6128,0.37641,0.43641,0.70833,0.54992,0.37201,1.27991,2.26985,1.88057,1.5221,0.000184055,0.000184055,0.000184055
46,2138.81,0.70723,1.28091,0.8031,1.07963,0.42735,0.78873,0.52084,0.36481,0.41986,0.75456,0.50708,0.35362,1.23182,2.26378,1.9812,1.4621,0.000155761,0.000155761,0.000155761
47,2184.59,0.70389,1.30613,0.79586,1.09236,0.40628,0.84439,0.50798,0.35748,0.39633,0.78975,0.47288,0.34349,1.20009,2.26255,2.02696,1.44324,0.000127467,0.000127467,0.000127467
48,2230.28,0.68415,1.29284,0.74739,1.07221,0.44778,0.88763,0.59198,0.38322,0.39798,0.79167,0.49472,0.37012,1.23486,2.20247,2.00597,1.47542,9.91726e-05,9.91726e-05,9.91726e-05
49,2276,0.68805,1.21666,0.75208,1.08567,0.41794,0.83231,0.50396,0.34629,0.40342,0.79589,0.49447,0.35249,1.24382,2.19389,1.97956,1.46489,7.08784e-05,7.08784e-05,7.08784e-05
