epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3557,0.97226,2.54889,1.86897,1.44922,0.69267,0.86364,0.84194,0.50281,0.69267,0.86364,0.84194,0.51224,0.97496,1.72708,2.11105,1.87227,0.000657778,0.000657778,0.000657778
2,90.834,1.02249,1.96791,1.5232,1.4638,0.95117,0.95455,0.94555,0.56195,0.99706,1,0.995,0.55937,1.19856,2.26222,1.63081,2.33333,0.00129822,0.00129822,0.00129822
3,136.307,1.08786,1.96634,1.44237,1.50958,0.85787,0.8233,0.88694,0.39797,0.85787,0.8233,0.894,0.36327,1.80367,2.51047,3.27493,3.0724,0.00191226,0.00191226,0.00191226
4,181.785,1.0795,1.91836,1.38674,1.48991,0.80295,0.92652,0.90764,0.60832,0.90678,0.95455,0.9902,0.6546,1.20054,1.52064,2.26264,2.27292,0.0018812,0.0018812,0.0018812
5,227.346,1.00647,1.93633,1.28536,1.4407,0.90616,0.95455,0.97109,0.63181,0.90616,0.95455,0.97109,0.39529,1.04947,2.60435,1.21071,1.8601,0.0018416,0.0018416,0.0018416
6,273.002,0.95305,1.85037,1.1556,1.39378,0.93784,1,0.99109,0.59236,0.93784,1,0.99109,0.70825,1.28384,1.36291,1.22675,2.28203,0.001802,0.001802,0.001802
7,318.555,0.93301,1.74188,1.05744,1.37421,0.86215,0.77273,0.88211,0.55936,0.91371,0.81818,0.93337,0.65844,0.94679,1.43516,1.26216,1.56965,0.0017624,0.0017624,0.0017624
8,364.007,0.91663,1.71859,1.06616,1.36896,0.97937,1,0.995,0.76364,0.97937,1,0.995,0.69985,0.88937,1.46771,0.79627,1.60466,0.0017228,0.0017228,0.0017228
9,409.526,0.94316,1.77692,1.03324,1.37345,0.99661,0.95455,0.99326,0.7717,0.99661,0.95455,0.99326,0.76094,0.92481,1.25146,0.99371,1.69784,0.0016832,0.0016832,0.0016832
10,455.157,0.89129,1.59593,0.97678,1.34241,0.99355,1,0.995,0.77509,0.99355,1,0.995,0.74213,0.7358,1.31935,0.85358,1.4953,0.0016436,0.0016436,0.0016436
11,500.562,0.91548,1.61402,0.98224,1.37095,0.95435,0.95049,0.98793,0.70963,0.95435,0.95049,0.98793,0.71761,0.96761,1.23856,0.74496,1.70649,0.001604,0.001604,0.001604
12,545.925,0.89788,1.65593,0.94386,1.34953,1,0.9866,0.995,0.735,1,0.9866,0.995,0.73563,0.82504,1.40171,0.78778,1.46339,0.0015644,0.0015644,0.0015644
13,591.277,0.85903,1.62447,0.93066,1.34452,0.99446,1,0.995,0.83592,0.99446,1,0.995,0.76524,0.67148,1.16018,0.61919,1.41755,0.0015248,0.0015248,0.0015248
14,636.653,0.79578,1.51855,0.84493,1.24997,0.94962,1,0.99326,0.77802,0.94962,1,0.99326,0.74687,0.8559,1.25082,0.834,1.56868,0.0014852,0.0014852,0.0014852
