epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8817,1.46037,3.14379,2.94114,1.59105,0.82074,0.15093,0.36307,0.17313,0.82074,0.15093,0.35717,0.16107,1.42907,3.01398,2.86767,1.73191,0.000470524,0.000470524,0.000470524
2,81.4653,1.43339,2.61229,2.24219,1.51435,0.49726,0.375,0.44872,0.26161,0.34599,0.41667,0.37807,0.20258,1.75318,3.08398,2.75916,2.1346,0.00092811,0.00092811,0.00092811
3,121.967,1.33341,2.56124,2.05522,1.48138,0.5174,0.16667,0.1816,0.11585,0.1367,0.25,0.13443,0.06303,2.43539,5.54741,5.31484,2.75514,0.00136683,0.00136683,0.00136683
4,162.416,1.36384,2.44215,2.04111,1.47673,0.45396,0.55593,0.50223,0.27344,0.45396,0.55593,0.5053,0.28715,1.84287,3.14819,3.54717,2.51101,0.00134412,0.00134412,0.00134412
5,202.888,1.35664,2.39816,1.94543,1.46479,0.53737,0.33333,0.43648,0.21329,0.4131,0.375,0.40781,0.21786,1.55591,2.88996,2.51412,1.93316,0.00131582,0.00131582,0.00131582
6,243.352,1.33881,2.40403,1.89221,1.4526,0.517,0.54167,0.43934,0.2615,0.517,0.54167,0.45555,0.2642,1.42934,3.45537,3.59806,1.98949,0.00128753,0.00128753,0.00128753
