epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1372.05,0.62326,1.22389,0.60418,1.15608,0.91204,1,0.98758,0.81539,0.91204,1,0.98758,0.79752,0.63938,0.98958,0.57124,1.27738,0.000812,0.000812,0.000812
32,1416.06,0.60822,1.20519,0.61369,1.14134,0.99446,1,0.995,0.87031,0.99446,1,0.995,0.79026,0.6118,1.0065,0.42383,1.35402,0.0007724,0.0007724,0.0007724
33,1460.11,0.64089,1.2303,0.57404,1.17372,0.95189,1,0.99109,0.86276,0.95189,1,0.99109,0.80531,0.61621,1.00631,0.48675,1.33207,0.0007328,0.0007328,0.0007328
34,1504.02,0.62045,1.164,0.57412,1.15046,0.9528,1,0.99326,0.85552,0.9528,1,0.99326,0.80025,0.64399,1.02858,0.45794,1.34116,0.0006932,0.0006932,0.0006932
35,1548.06,0.61097,1.16789,0.58041,1.1295,0.99799,1,0.995,0.873,0.99799,1,0.995,0.79516,0.55769,1.17556,0.38927,1.27461,0.0006536,0.0006536,0.0006536
36,1592.1,0.60269,1.12368,0.58354,1.12639,0.95636,0.99635,0.99326,0.82817,0.95636,0.99635,0.99326,0.77812,0.62648,1.26581,0.45468,1.28671,0.000614,0.000614,0.000614
37,1636.23,0.56465,1.12395,0.55207,1.12178,0.91651,0.99801,0.99167,0.83826,0.91651,0.99801,0.99167,0.7858,0.63767,1.09319,0.48174,1.38093,0.0005744,0.0005744,0.0005744
38,1680.19,0.57349,1.08124,0.53152,1.12505,0.95634,0.99591,0.98152,0.85016,0.95634,0.99591,0.98152,0.79086,0.61906,1.03879,0.44561,1.30642,0.0005348,0.0005348,0.0005348
39,1724.19,0.54135,1.09057,0.5009,1.08892,0.95609,0.99017,0.99109,0.86279,0.95609,0.99017,0.99109,0.79528,0.60458,1.11227,0.44603,1.23839,0.0004952,0.0004952,0.0004952
40,1768.24,0.58107,1.15743,0.56737,1.10826,0.99819,1,0.995,0.82009,0.99819,1,0.995,0.80518,0.68503,1.03004,0.42289,1.38452,0.0004556,0.0004556,0.0004556
41,1812.05,0.35542,0.91608,0.42947,1.05728,0.99692,1,0.995,0.8546,0.99692,1,0.995,0.8066,0.56704,1.02243,0.42959,1.26553,0.000416,0.000416,0.000416
42,1855.49,0.33193,0.77771,0.38682,1.04387,0.99663,1,0.995,0.83734,0.99663,1,0.995,0.79654,0.60202,1.02613,0.43046,1.35442,0.0003764,0.0003764,0.0003764
43,1898.89,0.30749,0.75623,0.35677,0.98656,0.99695,1,0.995,0.85671,0.99695,1,0.995,0.80615,0.61194,0.99158,0.45307,1.34792,0.0003368,0.0003368,0.0003368
44,1942.45,0.29623,0.76387,0.33256,0.99288,0.99566,1,0.995,0.84995,0.99566,1,0.995,0.81344,0.53735,1.00515,0.43968,1.26572,0.0002972,0.0002972,0.0002972
45,1985.84,0.28525,0.72909,0.32351,0.993,0.99186,1,0.995,0.87727,0.99186,1,0.995,0.81106,0.54587,0.96903,0.43931,1.26512,0.0002576,0.0002576,0.0002576
46,2029.22,0.27765,0.71719,0.30687,0.98404,0.95375,1,0.995,0.88874,0.95375,1,0.995,0.822,0.5138,1.02684,0.41014,1.23181,0.000218,0.000218,0.000218
47,2072.57,0.27733,0.68864,0.31412,0.98183,0.97737,1,0.995,0.87124,0.97737,1,0.995,0.81263,0.57478,1.02009,0.42067,1.26714,0.0001784,0.0001784,0.0001784
48,2115.92,0.26907,0.68462,0.30292,0.96219,0.99139,1,0.995,0.89154,0.99139,1,0.995,0.81496,0.533,1.02695,0.38356,1.23901,0.0001388,0.0001388,0.0001388
49,2159.3,0.25679,0.68454,0.28398,0.96138,0.98741,1,0.995,0.87573,0.98741,1,0.995,0.81483,0.55327,1.02205,0.38263,1.27218,9.92e-05,9.92e-05,9.92e-05
50,2202.6,0.26239,0.67982,0.28925,0.96551,0.98501,1,0.995,0.88212,0.98501,1,0.995,0.82501,0.55066,1.02041,0.3926,1.25301,5.96e-05,5.96e-05,5.96e-05
